iter	Passed	Remaining
217	3065	2488
218	3074	2471
219	3083	2453
220	3092	2435
221	3102	2417
222	3111	2400
223	3120	2382
224	3130	2364
225	3139	2347
226	3150	2331
227	3159	2314
228	3170	2298
229	3179	2281
230	3189	2264
231	3199	2248
232	3210	2231
233	3219	2215
234	3229	2198
235	3238	2181
236	3250	2167
237	3261	2151
238	3275	2137
239	3290	2124
240	3301	2109
241	3310	2092
242	3375	2111
243	3387	2096
244	3402	2083
245	3418	2070
246	3432	2056
247	3445	2042
248	3459	2028
249	3473	2014
250	3487	2000
251	3504	1988
252	3518	1974
253	3532	1960
254	3542	1944
255	3553	1929
256	3574	1919
257	3642	1934
258	3672	1928
259	3682	1912
260	3692	1895
261	3704	1880
262	3725	1869
263	3738	1854
264	3747	1838
265	3757	1822
266	3766	1805
267	3776	1789
268	3790	1775
269	3803	1760
270	3824	1750
271	3836	1734
272	3846	1718
273	3856	1703
274	3867	1687
275	3876	1671
276	3886	1655
277	3896	1639
278	3906	1624
279	3916	1608
280	3926	1593
281	3939	1578
282	3948	1562
283	3959	1547
284	3969	1532
285	4024	1533
286	4052	1524
287	4063	1509
288	4072	1493
289	4083	1478
290	4094	1463
291	4107	1448
292	4120	1434
293	4132	1419
294	4141	1403
295	4150	1388
296	4160	1372
297	4170	1357
298	4187	1344
299	4199	1329
300	4210	1314
301	4220	1299
302	4229	1284
303	4239	1269
304	4252	1254
305	4265	1240
306	4275	1225
307	4286	1210
308	4298	1196
309	4309	1181
310	4318	1166
311	4328	1151
312	4338	1136
313	4350	1122
314	4360	1107
315	4373	1093
316	4382	1078
317	4392	1063
318	4402	1048
319	4412	1034
320	4427	1020
321	4443	1007
322	4461	994
323	4476	981
324	4488	966
325	4497	951
326	4516	939
327	4528	924
328	4543	911
329	4553	896
330	4568	883
331	4580	869
332	4645	864
333	4677	854
334	4694	840
335	4705	826
336	4722	812
337	4734	798
338	4747	784
339	4758	769
340	4775	756
341	4789	742
342	4809	729
343	4820	714
344	4833	700
345	4852	687
346	4864	672
347	4874	658
348	4886	644
349	4898	629
350	4910	615
351	4921	601
352	4933	586
353	4944	572
354	4956	558
355	4968	544
356	4978	529
357	4992	516
358	5003	501
359	5012	487
360	5022	472
361	5035	459
362	5046	444
363	5058	430
364	5070	416
365	5080	402
366	5090	388
367	5100	374
368	5111	360
369	5134	346
370	5147	332
371	5158	318
372	5171	305
373	5186	291
374	5209	277
375	5225	264
376	5236	250
377	5248	236
378	5261	222
379	5273	208
380	5307	195
381	5320	181
382	5331	167
383	5342	153
384	5352	139
385	5363	125
386	5375	111
387	5454	98
388	5478	84
389	5495	70
390	5508	56
391	5520	42
392	5531	28
393	5541	14
394	5550	0
