iter	Logloss
0	0.688460733
1	0.6859165612
2	0.6813006902
3	0.6779250841
4	0.6741303159
5	0.6702518474
6	0.6665015823
7	0.6625236486
8	0.659393109
9	0.6556506728
10	0.6529277012
11	0.6497200089
12	0.6468406074
13	0.6430150758
14	0.6391664792
15	0.6362741621
16	0.6332103719
17	0.6299261582
18	0.6272614081
19	0.6240774656
20	0.6206586675
21	0.6175225858
22	0.613817987
23	0.6112567637
24	0.6078802332
25	0.6055419624
26	0.6027716847
27	0.6004181051
28	0.5979399758
29	0.5954850197
30	0.5933224937
31	0.5899280317
32	0.5867107507
33	0.5844985114
34	0.5821087429
35	0.5797637019
36	0.5775805304
37	0.5750050854
38	0.5729417013
39	0.5699575858
40	0.5674176703
41	0.5651740597
42	0.5627242853
43	0.5609062533
44	0.5582680125
45	0.5555985134
46	0.5537949558
47	0.5518154307
48	0.5492912739
49	0.5478291872
50	0.5457848417
51	0.5441363406
52	0.5418082162
53	0.5401516141
54	0.5382713738
55	0.5364733898
56	0.534725055
57	0.5324517283
58	0.5300072982
59	0.5278543986
60	0.5253755954
61	0.5242421451
62	0.5224291614
63	0.520948293
64	0.5190086954
65	0.5172596204
66	0.51593412
67	0.5139701128
68	0.5117004979
69	0.5097026087
70	0.5070381609
71	0.5057247771
72	0.5035575207
73	0.5016148706
74	0.499261829
75	0.497284118
76	0.4957970761
77	0.4940223008
78	0.4923141394
79	0.4902119989
80	0.488568832
81	0.4871543472
82	0.4861997963
83	0.4844077748
84	0.4823793775
85	0.4814180581
86	0.4800210874
87	0.4791289212
88	0.4779506818
89	0.4760026267
90	0.474527074
91	0.4729404614
92	0.472092435
93	0.4709407264
94	0.4692914694
95	0.4679303515
96	0.4657872982
97	0.4645072443
98	0.4637361388
99	0.4624367969
100	0.4605425957
101	0.4590074101
102	0.4577988142
103	0.4567658816
104	0.4550915439
105	0.4539525464
106	0.4528764949
107	0.4507865123
108	0.4490860716
109	0.4477002017
110	0.4465509286
111	0.4450636235
112	0.4432882634
113	0.4419802616
114	0.4404548802
115	0.4393206552
116	0.4380342106
117	0.4370939192
118	0.436025158
119	0.4342551151
120	0.4330462284
121	0.432030359
122	0.4310667751
123	0.4300168527
124	0.4287884238
125	0.4281554519
126	0.4267709579
127	0.4255601652
128	0.4241001987
129	0.4232965587
130	0.4221929213
131	0.4206276761
132	0.4191735652
133	0.4180933715
134	0.4172728365
135	0.4163013379
136	0.4153060016
137	0.4143233506
138	0.4133913154
139	0.412546642
140	0.411662976
141	0.4105412361
142	0.4095298358
143	0.4084238959
144	0.4074540219
145	0.4068503406
146	0.4054989539
147	0.4043123424
148	0.4033445986
149	0.4021771974
150	0.4011643688
151	0.4002851648
