iter	Logloss
152	0.3994400794
153	0.3985371007
154	0.3973383157
155	0.3960835541
156	0.3949826191
157	0.3938156537
158	0.3930103652
159	0.391828458
160	0.3910165748
161	0.3901245585
162	0.3892796052
163	0.3881132055
164	0.3868780009
165	0.3859622138
166	0.3848731747
167	0.3839930879
168	0.3831929204
169	0.3827706913
170	0.3817385224
171	0.3809631444
172	0.3802822869
173	0.3795439915
174	0.3786361421
175	0.37789196
176	0.3771850965
177	0.3760633024
178	0.3752993888
179	0.3745656073
180	0.3738776035
181	0.3731039376
182	0.3723538465
183	0.3714130864
184	0.3706594176
185	0.3699775653
186	0.3692668308
187	0.3684451347
188	0.3674582552
189	0.3666926666
190	0.366004233
191	0.3651444815
192	0.3646898442
193	0.3638172876
194	0.3630730867
195	0.3624271907
196	0.3614465572
197	0.3606155182
198	0.3599308029
199	0.3591441011
200	0.3581352459
201	0.3574746033
202	0.3569890256
203	0.3561986868
204	0.3554247684
205	0.354632608
206	0.3539513714
207	0.353087803
208	0.3524477536
209	0.3514659488
210	0.350677263
211	0.3498115099
212	0.3491449432
213	0.3486745622
214	0.3478986535
215	0.3472950436
216	0.3464425966
217	0.3458061873
218	0.3451365042
219	0.3444142103
220	0.3437985962
221	0.3431747455
222	0.3425693211
223	0.3418445921
224	0.3410160288
225	0.3404077551
226	0.339548151
227	0.3389471797
228	0.3380950661
229	0.337649304
230	0.3371731227
231	0.3362440858
232	0.3355182401
233	0.3348497387
234	0.3340408863
235	0.3334231737
236	0.3323883858
237	0.3318561079
238	0.3312164067
239	0.3305318537
240	0.3298537126
241	0.3290805756
242	0.3285084919
243	0.3279839876
244	0.3273804277
245	0.3263353852
246	0.3256477525
247	0.325232747
248	0.3244611533
249	0.323795694
250	0.3230596321
251	0.3226234132
252	0.3220406718
253	0.3215286478
254	0.3208140918
255	0.3199493798
256	0.319425714
257	0.3190412652
258	0.3185730499
259	0.3181101677
260	0.3171486715
261	0.3166614043
262	0.316165837
263	0.3156369405
264	0.3146835754
265	0.3137967411
266	0.3130355633
267	0.3123582896
268	0.3118582478
269	0.3113951142
270	0.3108219041
271	0.310329863
272	0.309642632
273	0.3091649589
274	0.308761369
275	0.3078078257
276	0.3071882082
277	0.3065283696
278	0.3061506356
279	0.3054941551
280	0.3048110688
281	0.3041197286
282	0.3035472744
283	0.3030886093
284	0.302447625
285	0.3018744327
286	0.3011367084
287	0.3005727243
288	0.3001561945
289	0.2995698586
290	0.2989709562
291	0.2986158141
292	0.2977891185
293	0.2969936684
294	0.2963675125
295	0.2957141127
296	0.2949334231
297	0.294542791
298	0.2941528139
299	0.2933007281
300	0.2928146597
301	0.292120462
302	0.2915875379
303	0.2910560688
304	0.2905037697
305	0.2901286688
306	0.289776099
307	0.2890760412
308	0.2887767362
309	0.2882890551
310	0.2877555924
311	0.287368629
312	0.2868102851
313	0.2861543027
314	0.2857143563
315	0.2851862327
316	0.2846942662
317	0.2840207042
318	0.2832740307
319	0.2825974884
320	0.2817343358
321	0.2811109649
322	0.2805335625
323	0.2797910913
324	0.2793990929
325	0.2790382854
326	0.2786990925
327	0.2782361809
328	0.2779042378
329	0.2777412027
330	0.2773742561
331	0.2768947641
332	0.2764296321
333	0.2759274846
334	0.2754713491
335	0.2749831981
336	0.2745076122
337	0.2739304974
338	0.2734255958
339	0.2729941551
340	0.2724102409
341	0.2720084523
342	0.2714310754
343	0.2708561569
344	0.2701677858
345	0.2694904941
346	0.26908163
347	0.2686426414
348	0.2684145267
349	0.2679677483
350	0.2671727583
351	0.2665978395
352	0.2662505692
353	0.2657855722
354	0.2652663311
355	0.265054217
356	0.2644670956
357	0.264046934
358	0.2634952506
359	0.2628384696
360	0.2624620434
361	0.2620055682
362	0.261672318
363	0.2613403868
364	0.2609849816
365	0.2603865716
366	0.2600250971
367	0.2594480694
368	0.2589870319
369	0.2586023725
370	0.2579673625
371	0.2577921435
372	0.2573923641
373	0.2569247856
374	0.2565046381
375	0.2560017224
376	0.2555270055
377	0.2550297289
378	0.2545388308
379	0.2541251078
380	0.2537694508
381	0.2534048727
382	0.2529664837
383	0.2525451324
384	0.252042017
385	0.2516154855
386	0.2511528739
387	0.2507577267
388	0.2503209619
389	0.2499487795
390	0.2493078899
391	0.2488668096
392	0.2485988718
393	0.2481832261
394	0.247843536
